Version,Percentage,Change
Windows 10 64 bit,92.01%,0.31%
Windows 7 64 bit,2.55%,0.27%
MacOS 10.16.0 64 bit,1.26%,0.07%
Windows 8.1 64 bit,1.16%,-0.09%
MacOS 10.15.7 64 bit,0.65%,-0.16%
MacOS 10.14.6 64 bit,0.35%,-0.08%
MacOS 10.13.6 64 bit,0.30%,-0.05%
Windows 7,0.18%,0.01%
Ubuntu 20.04.2 LTS 64 bit,0.12%,0.12%
MacOS 10.15.6 64 bit,0.11%,-0.06%
Windows 10,0.10%,-0.02%
MacOS 10.12.6 64 bit,0.10%,-0.01%
Arch Linux 64 bit,0.10%,0.00%
Windows 8 64 bit,0.09%,0.00%
Manjaro Linux 64 bit,0.09%,-0.01%
Ubuntu 20.04.1 LTS 64 bit,0.07%,-0.14%
MacOS 10.11.6 64 bit,0.06%,-0.02%
MacOS 10.15.5 64 bit,0.06%,-0.01%
